#Entity   SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        
ID                                                                                      
GPU 0     0.504        0.070        0.022        0.177        0.007        0.000        
GPU 0     0.399        0.078        0.049        0.115        0.016        0.000        
GPU 0     0.839        0.194        0.153        0.204        0.043        0.001        
GPU 0     0.844        0.192        0.161        0.215        0.044        0.001        
GPU 0     0.848        0.190        0.167        0.241        0.044        0.000        
GPU 0     0.849        0.189        0.167        0.262        0.044        0.000        
GPU 0     0.854        0.186        0.179        0.285        0.046        0.000        
GPU 0     0.856        0.186        0.177        0.340        0.046        0.000        
GPU 0     0.861        0.183        0.185        0.324        0.047        0.000        
GPU 0     0.863        0.182        0.187        0.340        0.047        0.000        
GPU 0     0.853        0.179        0.185        0.352        0.046        0.000        
GPU 0     0.754        0.145        0.158        0.306        0.041        0.000        
GPU 0     0.842        0.194        0.165        0.224        0.047        0.001        
GPU 0     0.849        0.191        0.170        0.233        0.046        0.000        
GPU 0     0.853        0.189        0.178        0.250        0.047        0.000        
#Entity   SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        
ID                                                                                      
GPU 0     0.854        0.188        0.175        0.301        0.047        0.000        
GPU 0     0.859        0.186        0.188        0.294        0.048        0.000        
GPU 0     0.861        0.185        0.189        0.320        0.049        0.000        
GPU 0     0.863        0.183        0.187        0.328        0.048        0.000        
GPU 0     0.868        0.181        0.197        0.345        0.049        0.000        
GPU 0     0.863        0.180        0.197        0.394        0.049        0.000        
GPU 0     0.821        0.171        0.197        0.349        0.049        0.000        
GPU 0     0.720        0.153        0.157        0.234        0.044        0.000        
GPU 0     0.847        0.191        0.166        0.251        0.046        0.000        
GPU 0     0.852        0.190        0.175        0.252        0.047        0.000        
GPU 0     0.854        0.188        0.177        0.271        0.047        0.000        
GPU 0     0.856        0.187        0.178        0.295        0.047        0.000        
GPU 0     0.860        0.184        0.190        0.340        0.049        0.000        
GPU 0     0.861        0.184        0.187        0.335        0.048        0.000        
#Entity   SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        
ID                                                                                      
GPU 0     0.865        0.182        0.191        0.343        0.048        0.000        
GPU 0     0.868        0.181        0.196        0.362        0.049        0.000        
GPU 0     0.862        0.179        0.198        0.381        0.050        0.000        
GPU 0     0.780        0.166        0.194        0.352        0.048        0.000        
GPU 0     0.778        0.168        0.158        0.224        0.045        0.000        
GPU 0     0.849        0.191        0.170        0.242        0.046        0.000        
GPU 0     0.853        0.189        0.177        0.287        0.047        0.000        
GPU 0     0.855        0.188        0.178        0.270        0.047        0.000        
GPU 0     0.858        0.186        0.183        0.303        0.048        0.000        
GPU 0     0.862        0.184        0.191        0.352        0.049        0.000        
GPU 0     0.863        0.183        0.188        0.340        0.048        0.000        
GPU 0     0.867        0.181        0.195        0.346        0.049        0.000        
GPU 0     0.859        0.178        0.198        0.365        0.050        0.000        
GPU 0     0.815        0.171        0.193        0.383        0.048        0.000        
#Entity   SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        
ID                                                                                      
GPU 0     0.800        0.170        0.191        0.320        0.048        0.000        
GPU 0     0.771        0.171        0.156        0.216        0.045        0.000        
GPU 0     0.851        0.190        0.172        0.273        0.047        0.000        
GPU 0     0.855        0.188        0.180        0.264        0.048        0.000        
GPU 0     0.857        0.187        0.180        0.289        0.048        0.000        
GPU 0     0.860        0.186        0.186        0.310        0.049        0.000        
GPU 0     0.863        0.183        0.191        0.359        0.049        0.000        
GPU 0     0.864        0.183        0.190        0.344        0.049        0.000        
GPU 0     0.868        0.181        0.196        0.353        0.049        0.000        
GPU 0     0.864        0.179        0.200        0.371        0.050        0.000        
GPU 0     0.783        0.167        0.192        0.360        0.048        0.000        
GPU 0     0.836        0.176        0.196        0.332        0.050        0.000        
GPU 0     0.677        0.151        0.137        0.199        0.039        0.000        
GPU 0     0.852        0.190        0.173        0.255        0.047        0.000        
#Entity   SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        
ID                                                                                      
GPU 0     0.856        0.188        0.180        0.297        0.048        0.000        
GPU 0     0.858        0.187        0.182        0.297        0.048        0.000        
GPU 0     0.861        0.185        0.186        0.318        0.049        0.000        
