#Entity   SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        
ID                                                                                      
GPU 0     0.854        0.180        0.183        0.308        0.042        0.000        
GPU 0     0.422        0.085        0.087        0.120        0.016        0.000        
GPU 0     0.845        0.191        0.179        0.203        0.039        0.000        
GPU 0     0.843        0.189        0.163        0.204        0.040        0.000        
GPU 0     0.858        0.189        0.187        0.252        0.039        0.000        
GPU 0     0.859        0.188        0.184        0.273        0.039        0.000        
GPU 0     0.861        0.186        0.188        0.312        0.040        0.000        
GPU 0     0.863        0.185        0.192        0.308        0.041        0.000        
GPU 0     0.866        0.184        0.190        0.322        0.040        0.000        
GPU 0     0.873        0.182        0.203        0.336        0.041        0.000        
GPU 0     0.870        0.181        0.199        0.371        0.042        0.000        
GPU 0     0.873        0.181        0.206        0.353        0.041        0.000        
GPU 0     0.876        0.179        0.213        0.354        0.043        0.000        
GPU 0     0.744        0.153        0.154        0.250        0.036        0.000        
GPU 0     0.856        0.189        0.188        0.231        0.041        0.000        
#Entity   SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        
ID                                                                                      
GPU 0     0.859        0.188        0.191        0.250        0.041        0.000        
GPU 0     0.861        0.186        0.193        0.293        0.042        0.000        
GPU 0     0.863        0.186        0.188        0.291        0.041        0.000        
GPU 0     0.866        0.184        0.199        0.308        0.043        0.000        
GPU 0     0.870        0.183        0.204        0.329        0.043        0.000        
GPU 0     0.871        0.183        0.201        0.366        0.042        0.000        
GPU 0     0.873        0.181        0.220        0.326        0.044        0.000        
GPU 0     0.870        0.179        0.205        0.339        0.046        0.000        
GPU 0     0.863        0.177        0.212        0.338        0.046        0.000        
GPU 0     0.856        0.176        0.231        0.352        0.047        0.000        
GPU 0     0.771        0.158        0.186        0.276        0.043        0.000        
GPU 0     0.853        0.188        0.192        0.216        0.042        0.000        
GPU 0     0.858        0.187        0.200        0.243        0.042        0.000        
GPU 0     0.854        0.185        0.183        0.276        0.044        0.000        
#Entity   SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        
ID                                                                                      
GPU 0     0.862        0.185        0.207        0.265        0.043        0.000        
GPU 0     0.860        0.183        0.196        0.284        0.044        0.000        
GPU 0     0.869        0.182        0.219        0.298        0.045        0.000        
GPU 0     0.867        0.181        0.203        0.341        0.044        0.000        
GPU 0     0.869        0.180        0.207        0.326        0.045        0.000        
GPU 0     0.874        0.179        0.219        0.366        0.045        0.000        
GPU 0     0.865        0.177        0.211        0.353        0.046        0.000        
GPU 0     0.842        0.174        0.232        0.350        0.047        0.000        
GPU 0     0.762        0.158        0.198        0.269        0.042        0.000        
GPU 0     0.850        0.187        0.176        0.218        0.043        0.000        
GPU 0     0.854        0.187        0.184        0.237        0.043        0.000        
GPU 0     0.862        0.185        0.204        0.285        0.043        0.000        
GPU 0     0.867        0.185        0.203        0.296        0.042        0.000        
GPU 0     0.859        0.183        0.185        0.287        0.044        0.000        
#Entity   SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        
ID                                                                                      
GPU 0     0.869        0.182        0.216        0.308        0.044        0.000        
GPU 0     0.872        0.183        0.198        0.380        0.043        0.000        
GPU 0     0.875        0.182        0.200        0.365        0.042        0.000        
GPU 0     0.878        0.180        0.209        0.363        0.043        0.000        
GPU 0     0.877        0.180        0.209        0.388        0.044        0.000        
GPU 0     0.860        0.179        0.215        0.422        0.046        0.000        
GPU 0     0.805        0.168        0.211        0.346        0.044        0.000        
GPU 0     0.801        0.166        0.197        0.260        0.042        0.000        
GPU 0     0.854        0.186        0.181        0.246        0.043        0.000        
GPU 0     0.857        0.185        0.189        0.281        0.044        0.000        
GPU 0     0.863        0.184        0.203        0.275        0.044        0.000        
GPU 0     0.866        0.184        0.212        0.288        0.044        0.000        
GPU 0     0.863        0.181        0.197        0.301        0.045        0.000        
GPU 0     0.872        0.182        0.220        0.318        0.045        0.000        
#Entity   SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        
ID                                                                                      
GPU 0     0.866        0.180        0.196        0.329        0.045        0.000        
GPU 0     0.875        0.179        0.222        0.338        0.045        0.000        
GPU 0     0.867        0.177        0.207        0.391        0.046        0.000        
