#Entity   SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        
ID                                                                                      
GPU 0     0.885        0.180        0.203        0.381        0.051        0.000        
GPU 0     0.448        0.089        0.091        0.164        0.018        0.000        
GPU 0     0.836        0.190        0.170        0.204        0.039        0.000        
GPU 0     0.828        0.185        0.176        0.234        0.037        0.000        
GPU 0     0.841        0.186        0.182        0.262        0.040        0.000        
GPU 0     0.835        0.182        0.180        0.277        0.039        0.000        
GPU 0     0.840        0.181        0.194        0.294        0.041        0.000        
GPU 0     0.858        0.185        0.204        0.298        0.043        0.000        
GPU 0     0.847        0.181        0.186        0.361        0.041        0.000        
GPU 0     0.845        0.175        0.204        0.338        0.041        0.000        
GPU 0     0.849        0.176        0.199        0.350        0.042        0.000        
GPU 0     0.838        0.172        0.199        0.360        0.041        0.000        
GPU 0     0.795        0.152        0.179        0.344        0.037        0.000        
GPU 0     0.772        0.171        0.169        0.243        0.038        0.000        
GPU 0     0.836        0.187        0.178        0.243        0.040        0.000        
#Entity   SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        
ID                                                                                      
GPU 0     0.844        0.185        0.187        0.259        0.042        0.000        
GPU 0     0.846        0.184        0.186        0.280        0.042        0.000        
GPU 0     0.867        0.190        0.202        0.308        0.044        0.000        
GPU 0     0.862        0.184        0.215        0.300        0.044        0.000        
GPU 0     0.862        0.184        0.213        0.317        0.044        0.000        
GPU 0     0.876        0.186        0.199        0.365        0.046        0.000        
GPU 0     0.874        0.182        0.219        0.344        0.046        0.000        
GPU 0     0.866        0.179        0.222        0.358        0.045        0.000        
GPU 0     0.862        0.179        0.227        0.391        0.047        0.000        
GPU 0     0.781        0.161        0.170        0.248        0.042        0.000        
GPU 0     0.856        0.191        0.203        0.230        0.043        0.000        
GPU 0     0.867        0.192        0.191        0.279        0.046        0.000        
GPU 0     0.861        0.187        0.210        0.274        0.044        0.000        
GPU 0     0.871        0.190        0.200        0.293        0.046        0.000        
#Entity   SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        
ID                                                                                      
GPU 0     0.863        0.183        0.220        0.311        0.046        0.000        
GPU 0     0.873        0.185        0.208        0.362        0.047        0.000        
GPU 0     0.867        0.182        0.220        0.333        0.045        0.000        
GPU 0     0.880        0.183        0.213        0.349        0.049        0.000        
GPU 0     0.860        0.177        0.228        0.399        0.046        0.000        
GPU 0     0.840        0.175        0.223        0.348        0.047        0.000        
GPU 0     0.764        0.155        0.201        0.304        0.044        0.000        
GPU 0     0.843        0.190        0.200        0.233        0.045        0.000        
GPU 0     0.865        0.192        0.190        0.285        0.046        0.000        
GPU 0     0.862        0.187        0.213        0.271        0.045        0.000        
GPU 0     0.870        0.190        0.196        0.292        0.047        0.000        
GPU 0     0.865        0.185        0.219        0.302        0.045        0.000        
GPU 0     0.868        0.184        0.209        0.367        0.047        0.000        
GPU 0     0.860        0.181        0.214        0.337        0.045        0.000        
#Entity   SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        
ID                                                                                      
GPU 0     0.868        0.180        0.220        0.352        0.046        0.000        
GPU 0     0.843        0.172        0.210        0.367        0.045        0.000        
GPU 0     0.858        0.175        0.223        0.411        0.046        0.000        
GPU 0     0.795        0.165        0.210        0.350        0.044        0.000        
GPU 0     0.750        0.154        0.198        0.292        0.043        0.000        
GPU 0     0.844        0.185        0.192        0.291        0.044        0.000        
GPU 0     0.841        0.183        0.193        0.283        0.043        0.000        
GPU 0     0.845        0.181        0.205        0.290        0.044        0.000        
GPU 0     0.848        0.181        0.200        0.311        0.044        0.000        
GPU 0     0.845        0.178        0.206        0.329        0.044        0.000        
GPU 0     0.849        0.177        0.205        0.343        0.045        0.000        
GPU 0     0.853        0.177        0.214        0.350        0.045        0.000        
GPU 0     0.858        0.177        0.211        0.394        0.045        0.000        
GPU 0     0.783        0.159        0.200        0.341        0.042        0.000        
#Entity   SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        
ID                                                                                      
GPU 0     0.852        0.172        0.220        0.377        0.045        0.000        
GPU 0     0.802        0.166        0.213        0.396        0.045        0.000        
GPU 0     0.821        0.171        0.220        0.348        0.045        0.000        
