# gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
# Idx      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
    1      0      0      0      0      0      0  10501   2520      0      0 
    1    100    100      0      0      0      0  10501   2745      2      1 
    1    100    100      0      0      0      0  10501   2745   2483    449 
    1    100    100      0      0      0      0  10501   2745    146     55 
    1    100     66      0      0      0      0  10501   1813     83     43 
    1    100     64      0      0      0      0  10501   2715     79     40 
    1    100     66      0      0      0      0  10501   1813     73     43 
    1    100     64      0      0      0      0  10501   2700     98     48 
    1    100     67      0      0      0      0  10501   1803     74     52 
    1    100     66      0      0      0      0  10501   1773     88     65 
    1    100     65      0      0      0      0  10501   2700     74     44 
    1    100     63      0      0      0      0  10501   2685     77     34 
    1    100     65      0      0      0      0  10501   2715     81     38 
    1    100     63      0      0      0      0  10501   2715     77     47 
    1    100     65      0      0      0      0  10501   1793     88     46 
    1    100     67      0      0      0      0  10501   2700     72     51 
    1    100     64      0      0      0      0  10501   1813     92     37 
    1    100     66      0      0      0      0  10501   2715     77     43 
    1    100     64      0      0      0      0  10501   2730     79     45 
    1    100     65      0      0      0      0  10501   2685     76     48 
    1    100     68      0      0      0      0  10501   1803     87     48 
    1    100     65      0      0      0      0  10501   1803     87     45 
    1    100     64      0      0      0      0  10501   1813     70     48 
    1    100     66      0      0      0      0  10501   2670     96     43 
    1    100     66      0      0      0      0  10501   2700     82     49 
    1    100     63      0      0      0      0  10501   1813     83     40 
    1    100     67      0      0      0      0  10501   1793     71     53 
    1    100     66      0      0      0      0  10501   1813     91     56 
    1    100     67      0      0      0      0  10501   2700     88     53 
    1    100     66      0      0      0      0  10501   2700     79     45 
