# gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
# Idx      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
    1     90     84      0      0      0      0  10501   2760     10      4 
    1     96     90      0      0      0      0  10501   2760     14      5 
    1     96     90      0      0      0      0  10501   2760     10      2 
    1     94     88      0      0      0      0  10501   2760     16      4 
    1    100     93      0      0      0      0  10501   2760     16      5 
    1     92     87      0      0      0      0  10501   2760     15      5 
    1    100     93      0      0      0      0  10501   2760     18      5 
    1     97     90      0      0      0      0  10501   2760     17      4 
    1    100     93      0      0      0      0  10501   2760     15      6 
    1    100     93      0      0      0      0  10501   2745     12      4 
    1     88     81      0      0      0      0  10501   2745     17      5 
    1     97     90      0      0      0      0  10501   2745     15      4 
    1     66     63      0      0      0      0  10501   2745     10      2 
    1     97     91      0      0      0      0  10501   2745     16      5 
    1     79     73      0      0      0      0  10501   2745     19      5 
