# gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
# Idx      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
    1    100     91      0      0      0      0  10501   2760     12      4 
    1     97     89      0      0      0      0  10501   2760     14      5 
    1     82     76      0      0      0      0  10501   2760      7      2 
    1     86     78      0      0      0      0  10501   2760   3710    561 
    1     99     91      0      0      0      0  10501   2760     38     11 
    1    100     45      0      0      0      0  10501   2370     13      4 
    1    100     46      0      0      0      0  10501   2340     17      4 
    1    100     45      0      0      0      0  10501   2325     12      4 
    1    100     44      0      0      0      0  10501   2355     13      4 
    1    100     45      0      0      0      0  10501   2370     14      4 
    1    100     47      0      0      0      0  10501   2325     17      5 
    1    100     45      0      0      0      0  10501   2325     15      4 
    1    100     45      0      0      0      0  10501   2325     13      4 
    1    100     47      0      0      0      0  10501   2310     15      4 
    1    100     45      0      0      0      0  10501   2325     18      4 
