# gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
# Idx      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
    1     99     92      0      0      0      0  10501   2745     15      5 
    1     92     86      0      0      0      0  10501   2745     16      5 
    1     99     93      0      0      0      0  10501   2745     17      5 
    1     96     90      0      0      0      0  10501   2745     13      3 
    1     93     87      0      0      0      0  10501   2745   1178    138 
    1     91     80      0      0      0      0  10501   2745     22      7 
    1     55     50      0      0      0      0  10501   2715     87     52 
    1    100     51      0      0      0      0  10501   2685     84     30 
    1    100     50      0      0      0      0  10501   2715     88     58 
    1    100     53      0      0      0      0  10501   2685     93     40 
    1    100     51      0      0      0      0  10501   2700     74     48 
    1    100     52      0      0      0      0  10501   2685     56     40 
    1    100     52      0      0      0      0  10501   2685     62     51 
    1    100     51      0      0      0      0  10501   2730     78     43 
    1    100     52      0      0      0      0  10501   2715     82     49 
